ID,Gender,Age,Discipline,Confidence,Tutorial_Exp,Logic_Experience,Diagam_Use,Familiarity,Location,Condition
3,F,21,C,3,480.06854,1,2,2,4,1
4,F,22,B,4,333.746294,2,5,2,5,0
5,M,22,B,3,487.869539,2,2,2,4,1
6,F,22,C,3,108.384833,2,5,3,5,0
7,M,20,B,4,251.845431,2,5,3,5,1
8,M,22,B,3,871.626131,1,2,1,3,0
9,M,21,B,3,644.011019,2,3,1,3,1
10,M,21,B,4,546.515767,1,2,1,4,0
11,M,23,B,3,88.920003,2,1,2,5,1
12,M,21,B,3,222.687335,1,5,2,3,0
13,F,21,D,4,409.47016,2,3,1,4,1
14,M,18,D,4,33.860315,2,5,1,4,0
