ID,Condition,Code,Order,Answer,Duration,Correct
1,0,24,1,D,4.311222,0
1,0,13,2,C,3.393487,0
1,0,23,3,C,4.472021,0
1,0,29,4,C,6.374164,0
1,0,0,5,C,3.714451,0
1,0,19,6,D,3.924439,0
1,0,4,7,C,3.990783,0
1,0,30,8,B,4.328217,0
1,0,2,9,D,3.982649,0
1,0,8,10,B,3.194825,0
1,0,17,11,D,3.48977,0
1,0,16,12,C,4.740551,0
1,0,26,13,D,3.51924,0
1,0,6,14,B,4.464234,0
1,0,12,15,D,4.001437,0
1,0,22,16,D,3.769875,0
1,0,9,17,D,3.594852,0
1,0,18,18,C,4.728589,0
1,0,14,19,D,3.569678,0
1,0,25,20,D,3.480478,0
1,0,15,21,E,6.203335,1
1,0,10,22,E,4.935448,0
1,0,28,23,E,4.336024,0
1,0,5,24,E,4.788585,0
1,0,3,25,B,3.235218,0
1,0,1,26,E,5.798511,0
1,0,11,27,E,4.611213,0
1,0,20,28,E,4.059824,0
1,0,7,29,E,3.815796,0
1,0,27,30,E,3.77447,0
1,0,21,31,E,4.130354,0
4,0,14,1,A,4.28039,0
4,0,4,2,E,4.297833,0
4,0,8,3,E,3.783503,0
4,0,1,4,E,8.358703,0
4,0,5,5,E,3.842694,0
4,0,28,6,E,4.207856,0
4,0,25,7,E,3.463456,0
4,0,13,8,E,4.665083,0
4,0,15,9,E,3.67764,1
4,0,29,10,E,3.489975,0
4,0,11,11,E,3.568229,0
4,0,16,12,E,3.58663,1
4,0,0,13,E,3.597423,0
4,0,22,14,E,3.007856,0
4,0,20,15,E,4.295472,0
4,0,9,16,E,3.626843,0
4,0,21,17,E,5.014335,0
4,0,19,18,E,4.166582,0
4,0,10,19,E,3.323379,0
4,0,18,20,E,3.518656,0
4,0,2,21,E,3.028917,0
4,0,26,22,E,3.286029,0
4,0,12,23,D,3.938909,0
4,0,23,24,C,4.150017,0
4,0,30,25,C,3.359781,0
4,0,7,26,C,5.203236,0
4,0,6,27,C,5.639496,0
4,0,27,28,C,3.738252,0
4,0,3,29,C,4.618988,0
4,0,17,30,C,3.559836,0
4,0,24,31,D,4.145604,0
